生产车间,样品编号,品种等级,供应单位,批号,取样日期,检测日期,取样基数(t),取样人,样品到期处理日期,样品到期处理人,样品到期处理批准人,细度(%),密度(g/cm3),比表面积(m2/kg),标准稠度用水量(%),安定性,初凝,终凝,抗压3d,抗压28d,抗折3d,抗折28d,报告日期,备注,检测人,录入时间
长寿站,007111800002,P·O42.5R,重庆锦赐程商贸有限公司,4E-R002,2018-01-03 12:19:57,2018-01-09 00:00:00,463.38,朱多,2018-03-03 11:26:03,杨帆,杨帆,,,,25,合格,155,205,31,52.4,6.6,10.8,2018-02-07 00:00:00,,江超,2018-02-06 16:52:49
长寿站,007111800003,P·O42.5R,重庆锦赐程商贸有限公司,4E-R005,2018-01-08 17:57:45,2018-01-09 00:00:00,491.58,朱多,2018-03-03 11:26:05,杨帆,杨帆,,,,28,合格,161,216,31.6,51.9,6.7,10.9,2018-02-07 00:00:00,,江超,2018-02-06 16:53:33
长寿站,007111800004,P·O42.5R,重庆锦赐程商贸有限公司,4E-R006,2018-01-11 19:21:18,2018-01-16 00:00:00,460.86,朱多,2018-03-03 11:26:06,杨帆,杨帆,,,,28,合格,162,208,30.7,48.1,6.7,10.4,2018-02-14 00:00:00,,江超,2018-03-04 09:35:06
长寿站,007111800005,P·O42.5R,重庆锦赐程商贸有限公司,4E-R008,2018-01-14 14:58:21,2018-01-16 00:00:00,454.64,朱多,2018-03-03 11:26:07,杨帆,杨帆,,,,27,合格,150,220,29.8,46.7,6.6,9.8,2018-02-14 00:00:00,,江超,2018-03-04 09:36:45
长寿站,007111800006,P·O42.5R,重庆锦赐程商贸有限公司,4E-R009,2018-01-16 12:13:14,2018-01-23 00:00:00,462.32,朱多,2018-03-03 11:26:09,杨帆,杨帆,,,,25,合格,121,232,31,48.2,6.1,10.6,2018-02-21 00:00:00,,江超,2018-03-04 09:38:14
长寿站,007111800007,P·O42.5R,重庆锦赐程商贸有限公司,4E-R011,2018-01-18 04:12:11,2018-01-23 00:00:00,515.74,朱多,2018-03-03 11:26:11,杨帆,杨帆,,,,25,合格,125,209,,,,,2018-02-21 00:00:00,,龙霞,2018-03-13 15:29:34
长寿站,007111800008,P·O42.5R,重庆锦赐程商贸有限公司,4E-R012,2018-01-19 18:46:19,2018-01-23 00:00:00,464.86,朱多,2018-03-03 11:26:12,杨帆,杨帆,,,,25,合格,151,226,,,,,2018-02-21 00:00:00,,龙霞,2018-03-13 15:29:59
长寿站,007111800009,P·O42.5R,重庆锦赐程商贸有限公司,4E-R013,2018-01-22 21:10:08,2018-01-23 00:00:00,469.92,朱多,2018-03-06 09:49:02,杨帆,杨帆,,,,25,合格,165,210,30.8,45.2,6.3,9.7,2018-02-21 00:00:00,,江超,2018-03-04 09:40:26
长寿站,007111800010,P·O42.5R,重庆锦赐程商贸有限公司,4E-R015,2018-01-24 13:36:36,2018-01-30 00:00:00,519.04,朱多,2018-03-06 09:49:04,杨帆,杨帆,,,,28,合格,170,235,23.7,46.2,5.8,9.8,2018-02-28 00:00:00,,江超,2018-03-04 09:43:45
长寿站,007111800011,P·O42.5R,重庆锦赐程商贸有限公司,4E-R016,2018-01-26 16:43:37,2018-01-30 00:00:00,504.92,朱多,2018-03-10 15:01:00,杨帆,杨帆,,,,28,合格,158,196,28.4,46.7,6.5,10.1,2018-02-28 00:00:00,,江超,2018-03-04 09:47:10
长寿站,007111800012,P·O42.5R,重庆锦赐程商贸有限公司,4E-R019,2018-01-31 12:18:51,2018-02-06 00:00:00,468.14,朱多,2018-03-16 15:04:52,孙浩,孙浩,,,,25,合格,138,222,,,,,2018-03-07 00:00:00,,龙霞,2018-03-13 15:30:31
长寿站,007111800013,P·O42.5R,重庆锦赐程商贸有限公司,4E-R021,2018-02-04 12:45:28,2018-02-06 00:00:00,514.4,朱多,2018-03-16 15:05:04,孙浩,孙浩,,,,26,合格,160,225,27.4,52,6.8,10.7,2018-03-07 00:00:00,,汪洲鑫,2018-03-07 17:10:44
长寿站,007111800014,P·O42.5R,重庆锦赐程商贸有限公司,4E-R023,2018-02-06 14:54:03,2018-02-13 00:00:00,475.68,朱多,2018-03-23 09:20:20,江超,江超,,,,26,合格,157,213,,,,,2018-03-14 00:00:00,,龙霞,2018-03-13 15:30:48
长寿站,007111800015,P·O42.5R,重庆锦赐程商贸有限公司,4E-R026,2018-02-10 14:24:01,2018-02-13 00:00:00,484.24,杨帆,2018-03-23 09:20:22,江超,江超,,,,26,合格,123,217,,,,,2018-03-14 00:00:00,,龙霞,2018-03-13 15:31:03
长寿站,007111800016,P·O42.5R,重庆锦赐程商贸有限公司,4E-R027,2018-03-03 14:03:39,2018-03-06 00:00:00,533.16,杨帆,2018-04-13 11:27:45,杨帆,杨帆,,,,26,合格,170,245,24.9,45.3,6.7,9.6,2018-04-04 00:00:00,,孙浩,2018-04-04 21:47:08
长寿站,007111800017,P·O42.5R,重庆锦赐程商贸有限公司,4E-R028,2018-03-05 14:16:52,2018-03-06 00:00:00,493.46,杨帆,2018-04-20 10:37:49,杨帆,杨帆,,,,27,合格,128,203,,,,,2018-04-04 00:00:00,,龙霞,2018-03-15 15:54:58
长寿站,007111800018,P·O42.5R,重庆锦赐程商贸有限公司,4E-R030,2018-03-10 13:12:49,2018-03-13 00:00:00,466.9,杨帆,2018-04-20 10:37:51,杨帆,杨帆,,,,25,合格,160,240,24.4,48,6.3,9.8,2018-04-11 00:00:00,,孙浩,2018-04-10 18:52:04
长寿站,007111800019,P·O42.5R,重庆锦赐程商贸有限公司,4E-R032,2018-03-14 14:55:57,2018-03-21 00:00:00,508,孙浩,2018-04-27 10:37:18,杨帆,杨帆,,,,28,合格,170,260,28.6,52.1,6.6,9.8,2018-04-19 00:00:00,,江超,2018-04-17 17:13:06
长寿站,007111800020,P·O42.5R,重庆锦赐程商贸有限公司,4E-R266,2018-03-18 08:26:10,2018-03-21 00:00:00,459.62,江超,2018-04-27 10:37:19,杨帆,杨帆,,,,26,合格,127,219,30.3,49.9,6.5,9.7,2018-04-19 00:00:00,,江超,2018-04-17 17:14:10
长寿站,007111800021,P·O42.5R,重庆锦赐程商贸有限公司,4E-R038,2018-03-20 18:27:26,2018-03-27 00:00:00,493.4,江超,2018-05-04 14:55:15,杨帆,杨帆,,,,26,合格,170,240,29.2,48.1,6.2,9.9,2018-04-25 00:00:00,,汪洲鑫,2018-04-24 16:37:11
长寿站,007111800022,P·O42.5R,重庆锦赐程商贸有限公司,4E-R038,2018-03-25 10:56:16,2018-03-27 00:00:00,499.66,江超,2018-05-04 14:55:16,杨帆,杨帆,,,,27,合格,121,195,24,47.5,5.8,9.6,2018-04-25 00:00:00,,汪洲鑫,2018-04-24 16:37:50
长寿站,007111800023,P·O42.5R,重庆锦赐程商贸有限公司,4E-R042,2018-03-30 10:42:06,2018-04-03 00:00:00,508.2,孙浩,2018-05-11 14:17:52,杨帆,杨帆,,,,28,合格,170,240,27,43.4,6.1,9.4,2018-05-02 00:00:00,,孙浩,2018-05-01 18:25:35
长寿站,007111800024,P·O42.5R,重庆锦赐程商贸有限公司,4E-R044,2018-04-01 21:29:46,2018-04-03 00:00:00,464.5,孙浩,2018-05-18 14:00:08,杨帆,杨帆,,,,27,合格,124,196,27.4,44.6,6.2,9.6,2018-05-02 00:00:00,,孙浩,2018-05-01 18:26:46
长寿站,007111800025,P·O42.5R,重庆锦赐程商贸有限公司,4E-R045,2018-04-03 20:07:22,2018-04-10 00:00:00,451.22,孙浩,2018-05-18 14:00:09,杨帆,杨帆,,,,27,合格,180,240,27.5,45.8,6.4,9.7,2018-05-09 00:00:00,,龙霞,2018-05-09 11:07:55
长寿站,007111800026,P·O42.5R,重庆锦赐程商贸有限公司,4E-R049,2018-04-08 11:59:24,2018-04-10 00:00:00,458.5,杨帆,2018-05-18 14:00:10,杨帆,杨帆,,,,25,合格,144,206,,,,,2018-05-09 00:00:00,,龙霞,2018-05-09 11:06:35
长寿站,007111800027,P·O42.5R,重庆锦赐程商贸有限公司,4E-R051,2018-04-11 14:44:41,2018-04-17 00:00:00,469.72,江超,2018-05-25 10:11:29,杨帆,杨帆,,,,26,合格,172,192,24,47,5.8,9.4,2018-05-16 00:00:00,,汪洲鑫,2018-05-15 17:27:37
长寿站,007111800028,P·O42.5R,重庆锦赐程商贸有限公司,4E-R054,2018-04-15 15:48:47,2018-04-17 00:00:00,467.88,杨帆,2018-05-27 16:21:27,杨帆,杨帆,,,,28,合格,140,200,24.1,47.9,6,9.7,2018-05-16 00:00:00,,汪洲鑫,2018-05-15 17:28:25
长寿站,007111800029,P·O42.5R,重庆锦赐程商贸有限公司,4E-R0425,2018-04-18 02:13:51,2018-04-24 00:00:00,469.74,江超,2018-06-01 10:42:35,杨帆,杨帆,,,,26,合格,160,230,28.7,48.7,6.2,9.9,2018-05-23 00:00:00,,江超,2018-05-25 18:37:02
长寿站,007111800030,P·O42.5R,重庆锦赐程商贸有限公司,4E-R059,2018-04-22 02:01:10,2018-04-24 00:00:00,461.98,江超,2018-06-01 10:42:37,杨帆,杨帆,,,,26,合格,131,228,26.4,49.7,6.2,9.3,2018-05-23 00:00:00,,江超,2018-05-25 18:37:52
长寿站,007111800031,P·O42.5R,重庆锦赐程商贸有限公司,4E-R064,2018-04-28 17:54:24,2018-05-01 00:00:00,520.84,江超,2018-06-08 09:14:25,杨帆,杨帆,,,,26,合格,160,250,26,43.1,6,8.9,2018-05-30 00:00:00,,江超,2018-05-29 17:11:41
长寿站,007111800032,P·O42.5R,重庆锦赐程商贸有限公司,4E-R067,2018-05-02 17:15:11,2018-05-08 00:00:00,573.9,杨帆,2018-06-15 09:10:02,杨帆,杨帆,,,,26,合格,165,242,25.6,43.9,6.3,8.1,,,汪洲鑫,2018-06-06 07:39:08
长寿站,007111800033,P·O42.5R,重庆锦赐程商贸有限公司,4E-R070,2018-05-05 17:59:03,2018-05-08 00:00:00,453.38,杨帆,2018-06-15 09:10:04,杨帆,杨帆,,,,26,合格,152,216,24.8,44.4,5.7,8.9,,,汪洲鑫,2018-06-06 07:40:32
长寿站,007111800034,P·O42.5R,重庆锦赐程商贸有限公司,4E-R074,2018-05-09 20:35:46,2018-05-15 00:00:00,489.9,江超,,,,,,,27,合格,170,250,29.8,50.1,6.1,8.9,,,江超,2018-06-12 17:26:20
长寿站,007111800035,P·O42.5R,重庆锦赐程商贸有限公司,4E-R0565,2018-05-18 19:59:42,2018-05-22 00:00:00,484.86,江超,,,,,,,26,合格,180,240,25,37.4,5.6,8.6,,,汪洲鑫,2018-06-20 17:13:13
长寿站,007111800036,P·O42.5R,重庆锦赐程商贸有限公司,4E-R087,2018-05-23 15:53:19,2018-05-29 00:00:00,479.18,杨帆,,,,,,,28,合格,210,270,25.9,,5.8,,,,杨帆,2018-06-01 17:19:57
长寿站,007111800037,P·O42.5R,重庆锦赐程商贸有限公司,4E-R092,2018-05-31 21:29:56,2018-06-05 00:00:00,540.18,杨帆,,,,,,,26,合格,190,260,31.8,,6.4,,,,汪洲鑫,2018-06-09 17:18:53
长寿站,007111800038,P·O42.5R,重庆锦赐程商贸有限公司,4E-R097,2018-06-05 11:50:05,2018-06-05 00:00:00,483.04,杨帆,,,,,,,28,合格,171,213,32.7,,6.7,,,,汪洲鑫,2018-06-09 17:19:37
长寿站,007111800039,P·O42.5R,重庆锦赐程商贸有限公司,4E-R102,2018-06-11 13:51:25,2018-06-12 00:00:00,484.6,杨帆,,,,,,,27,合格,180,250,27.1,,6.7,,,,江超,2018-06-15 17:31:22
大渡口站,012111800002,P·O42.5R,重庆小南海水泥厂,散装012,2018-01-02 13:30:51,2018-01-02 00:00:00,433.46,陈馨,,,,,,,27,合格,142,186,27.5,46.6,5.3,8.2,2018-01-31 00:00:00,,蒋合军,2018-01-30 16:52:01
大渡口站,012111800003,P·O42.5R,重庆小南海水泥厂,散装22,2018-01-04 00:24:14,2018-01-04 00:00:00,450.12,陈馨,,,,,,,26,合格,160,209,,,,,2018-02-02 00:00:00,,卢燕,2018-03-05 14:47:51
大渡口站,012111800004,P·O42.5R,重庆小南海水泥厂,散装026,2018-01-04 13:39:48,2018-01-04 00:00:00,488.36,陈馨,,,,,,,25,合格,126,219,,,,,2018-02-02 00:00:00,,卢燕,2018-03-05 14:55:46
大渡口站,012111800005,P·O42.5R,重庆小南海水泥厂,散装032,2018-01-05 11:47:53,2018-01-05 00:00:00,435.6,陈馨,,,,,,,27,合格,150,193,,,,,2018-02-03 00:00:00,,卢燕,2018-03-05 14:59:12
大渡口站,012111800006,P·O42.5R,重庆小南海水泥厂,散装038,2018-01-06 14:18:30,2018-01-06 00:00:00,448.48,陈馨,,,,,,,28,合格,162,223,,,,,2018-02-04 00:00:00,,卢燕,2018-03-05 14:59:28
大渡口站,012111800007,P·O42.5R,重庆小南海水泥厂,散装044,2018-01-07 14:58:24,2018-01-07 00:00:00,431.5,陈馨,,,,,,,27,合格,131,209,,,,,2018-02-05 00:00:00,,卢燕,2018-03-05 14:59:51
大渡口站,012111800008,P·O42.5R,重庆小南海水泥厂,散装056,2018-01-09 09:04:54,2018-01-09 00:00:00,452.12,陈馨,,,,,,,26,合格,148,195,33.5,49.4,5.9,9.2,2018-02-07 00:00:00,,蒋合军,2018-02-06 17:15:48
大渡口站,012111800009,P·O42.5R,重庆小南海水泥厂,散装066,2018-01-10 19:53:08,2018-01-10 00:00:00,449.08,陈馨,,,,,,,26,合格,141,227,,,,,2018-02-08 00:00:00,,卢燕,2018-03-05 15:00:13
大渡口站,012111800010,P·O42.5R,重庆小南海水泥厂,散装076,2018-01-12 00:44:45,2018-01-12 00:00:00,448.68,陈馨,,,,,,,28,合格,141,216,,,,,2018-02-10 00:00:00,,卢燕,2018-03-05 15:01:21
大渡口站,012111800011,P·O42.5R,重庆小南海水泥厂,散装084,2018-01-13 00:23:19,2018-01-13 00:00:00,447.76,陈馨,,,,,,,25,合格,151,197,,,,,2018-02-11 00:00:00,,卢燕,2018-03-05 15:01:38
大渡口站,012111800012,P·O42.5R,重庆小南海水泥厂,散装088,2018-01-13 15:24:48,2018-01-13 00:00:00,447.02,陈馨,,,,,,,25,合格,161,227,,,,,2018-02-11 00:00:00,,卢燕,2018-03-05 15:08:23
大渡口站,012111800013,P·O42.5R,重庆小南海水泥厂,散装098,2018-01-14 14:57:54,2018-01-14 00:00:00,490.04,陈馨,,,,,,,27,合格,157,194,,,,,2018-02-12 00:00:00,,卢燕,2018-03-05 15:17:12
大渡口站,012111800014,P·O42.5R,重庆小南海水泥厂,散装112,2018-01-16 11:24:57,2018-01-16 00:00:00,500,陈馨,,,,,,,28,合格,144,189,33.1,47.9,6.2,9.6,2018-02-14 00:00:00,,蒋合军,2018-03-05 12:55:47
大渡口站,012111800015,P·O42.5R,重庆小南海水泥厂,散装114,2018-01-16 17:17:34,2018-01-16 00:00:00,452.84,陈馨,,,,,,,25,合格,121,214,,,,,2018-02-14 00:00:00,,卢燕,2018-03-05 15:17:50
大渡口站,012111800016,P·O42.5R,重庆小南海水泥厂,散装132,2018-01-18 22:23:02,2018-01-18 00:00:00,450.92,陈馨,,,,,,,27,合格,125,198,,,,,2018-02-16 00:00:00,,卢燕,2018-03-05 15:18:37
大渡口站,012111800017,P·O42.5R,重庆小南海水泥厂,散装142,2018-01-19 23:36:32,2018-01-19 00:00:00,475.48,陈馨,,,,,,,25,合格,135,198,,,,,2018-02-17 00:00:00,,卢燕,2018-03-05 15:19:02
大渡口站,012111800018,P·O42.5R,重庆小南海水泥厂,散装144,2018-01-20 13:09:52,2018-01-28 00:00:00,480.26,陈馨,,,,,,,26,合格,136,225,,,,,2018-02-26 00:00:00,,卢燕,2018-03-05 15:19:16
大渡口站,012111800019, P·O42.5（低碱）,重庆建工集团物流有限公司,PB-2,2018-01-21 03:26:13,2018-01-22 00:00:00,495.82,陈馨,,,,,,,27,合格,146,201,25,46.4,5.3,8.8,2018-02-20 00:00:00,,蒋合军,2018-03-05 12:57:06
大渡口站,012111800020,P·O42.5R,重庆小南海水泥厂,散装150,2018-01-21 09:07:05,2018-01-21 00:00:00,480.84,陈馨,,,,,,,25,合格,172,208,,,,,2018-02-19 00:00:00,,卢燕,2018-03-05 15:19:35
大渡口站,012111800021,P·O42.5R,重庆小南海水泥厂,散装162,2018-01-23 00:25:41,2018-01-23 00:00:00,461.68,陈馨,,,,,,,25,合格,137,194,29.3,49.9,6.6,9.6,2018-02-21 00:00:00,,蒋合军,2018-03-05 13:00:39
大渡口站,012111800022,P·O42.5R,重庆小南海水泥厂,散装172,2018-01-24 06:03:23,2018-01-24 00:00:00,467.74,陈馨,,,,,,,27,合格,148,193,,,,,2018-02-22 00:00:00,,卢燕,2018-03-05 15:20:20
大渡口站,012111800023,P·O42.5R,重庆小南海水泥厂,散装180,2018-01-25 01:47:19,2018-01-25 00:00:00,478.1,陈馨,,,,,,,28,合格,154,200,,,,,2018-02-23 00:00:00,,卢燕,2018-03-05 15:21:10
大渡口站,012111800024,P·O42.5R,重庆小南海水泥厂,散装180,2018-01-26 10:40:08,2018-01-26 00:00:00,450.8,陈馨,,,,,,,28,合格,120,229,,,,,2018-02-24 00:00:00,,卢燕,2018-03-05 15:21:25
大渡口站,012111800025,P·O42.5R,重庆小南海水泥厂,散装196,2018-01-27 09:47:04,2018-01-27 00:00:00,478.6,陈馨,,,,,,,26,合格,132,216,,,,,2018-02-25 00:00:00,,卢燕,2018-03-05 15:21:41
大渡口站,012111800026,P·O42.5R,重庆小南海水泥厂,散装210,2018-01-29 07:40:59,2018-01-29 00:00:00,469.74,陈馨,,,,,,,27,合格,126,210,,,,,2018-02-27 00:00:00,,卢燕,2018-03-05 15:21:58
大渡口站,012111800027,P·O42.5R,重庆小南海水泥厂,散装216,2018-01-30 06:01:35,2018-01-30 00:00:00,455.26,陈馨,,,,,,,28,合格,163,226,33.1,46.7,5.6,9,2018-02-28 00:00:00,,卢燕,2018-03-05 15:22:10
大渡口站,012111800028,P·O42.5R,重庆小南海水泥厂,散装224,2018-01-31 09:53:46,2018-01-31 00:00:00,454,陈馨,,,,,,,28,合格,144,228,,,,,2018-03-01 00:00:00,,卢燕,2018-03-05 15:22:28
大渡口站,012111800029,P·O42.5R,重庆小南海水泥厂,散装026,2018-02-03 05:23:57,2018-02-03 00:00:00,468.3,陈馨,2018-05-14 08:20:09,杨勇,杨勇,,,,28,合格,131,195,,,,,2018-03-04 00:00:00,,卢燕,2018-03-05 15:22:42
大渡口站,012111800030,P·O42.5R,重庆小南海水泥厂,散装284,2018-02-04 12:23:52,2018-02-04 00:00:00,450.66,陈馨,2018-05-14 08:20:11,杨勇,杨勇,,,,27,合格,148,193,,,,,2018-03-05 00:00:00,,卢燕,2018-03-05 16:07:36
大渡口站,012111800031,,重庆小南海水泥厂,,2018-02-05 11:20:23,,449.68,陈馨,2018-05-14 08:20:12,杨勇,杨勇,,,,,,,,,,,,,,,
大渡口站,012111800032,P·O42.5R,重庆小南海水泥厂,散装270,2018-02-06 10:11:46,2018-02-06 00:00:00,481,陈馨,2018-05-14 08:20:13,杨勇,杨勇,,,,29,合格,146,210,34.9,49.3,5.6,9.1,2018-03-07 00:00:00,,蒋合军,2018-03-05 14:28:07
大渡口站,012111800033, P·O42.5（低碱）,重庆建工集团物流有限公司,/,2018-02-06 23:58:04,2018-02-13 00:00:00,495.2,陈馨,2018-05-14 08:20:14,杨勇,杨勇,,,,28,合格,167,215,30.8,51,5.2,8.7,2018-03-14 00:00:00,,蒋合军,2018-03-16 23:59:38
大渡口站,012111800034,,重庆小南海水泥厂,,2018-02-07 11:29:16,,469.66,陈馨,2018-05-14 08:20:15,杨勇,杨勇,,,,,,,,,,,,,,,
大渡口站,012111800035,,重庆小南海水泥厂,,2018-02-08 11:28:52,,470.5,陈馨,2018-03-21 09:16:30,陈馨,杨勇,,,,,,,,,,,,,,,
大渡口站,012111800036,,重庆小南海水泥厂,,2018-02-09 13:21:44,,468.12,陈馨,2018-05-14 08:20:17,杨勇,杨勇,,,,,,,,,,,,,,,
大渡口站,012111800037,,重庆小南海水泥厂,,2018-02-10 12:12:49,,471.88,陈馨,2018-05-14 08:20:18,杨勇,杨勇,,,,,,,,,,,,,,,
大渡口站,012111800038,P·O42.5R,重庆小南海水泥厂,散装308,2018-02-11 11:04:29,2018-02-13 00:00:00,479.84,陈馨,2018-05-14 08:20:20,杨勇,杨勇,,,,25,合格,134,201,32.9,52.4,5.5,9.5,2018-03-14 00:00:00,,蒋合军,2018-03-17 00:00:15
大渡口站,012111800039,P·O42.5R,重庆小南海水泥厂,散装316,2018-02-28 14:14:29,2018-02-28 00:00:00,444.4,陈馨,2018-05-14 08:15:40,杨勇,杨勇,,,,28,合格,175,222,,,,,2018-03-29 00:00:00,,马剑雄,2018-03-09 17:51:20
大渡口站,012111800040, P·O42.5（低碱）,重庆建工集团物流有限公司,913-5,2018-03-02 23:27:45,2018-03-06 00:00:00,434.68,陈馨,2018-05-14 08:15:45,杨勇,杨勇,,,,26,合格,158,213,29.2,47.4,5.7,8.5,2018-04-04 00:00:00,,王超奇,2018-03-28 10:23:13
大渡口站,012111800041,P·O42.5R,重庆小南海水泥厂,散装324,2018-03-03 23:45:16,2018-03-06 00:00:00,450.28,陈馨,2018-05-14 08:15:46,杨勇,杨勇,,,,27,合格,153,201,31.1,47.5,5.6,9.1,2018-04-04 00:00:00,,王超奇,2018-03-28 10:24:07
大渡口站,012111800042,P·O42.5R,重庆小南海水泥厂,散装336,2018-03-06 22:18:56,2018-03-06 00:00:00,448.34,陈馨,2018-05-14 08:15:47,杨勇,杨勇,,,,26,合格,160,203,,,,,2018-04-04 00:00:00,,马剑雄,2018-03-09 17:53:25
大渡口站,012111800043,P·O42.5R,重庆小南海水泥厂,散装350,2018-03-09 13:44:25,2018-03-09 00:00:00,466.92,陈馨,2018-05-14 08:15:52,杨勇,陈馨,,,,25,合格,140,200,,,,,2018-04-07 00:00:00,,陈馨,2018-04-26 08:26:50
大渡口站,012111800044,P·O42.5R,重庆小南海水泥厂,散装356,2018-03-10 14:11:22,2018-03-10 00:00:00,490.3,陈馨,2018-05-14 08:15:54,杨勇,陈馨,,,,27,合格,139,200,,,,,2018-04-08 00:00:00,,陈馨,2018-04-26 08:27:10
大渡口站,012111800045,P·O42.5R,重庆小南海水泥厂,散装320,2018-03-12 14:16:35,2018-03-13 00:00:00,453.06,陈馨,2018-05-14 08:15:56,杨勇,陈馨,,,,27,合格,142,210,31.5,47.9,5.5,9.2,2018-04-11 00:00:00,,陈馨,2018-04-16 17:01:06
大渡口站,012111800046,P·O42.5R,重庆小南海水泥厂,散装380,2018-03-14 05:22:52,2018-03-14 00:00:00,448.54,陈馨,2018-05-14 08:15:58,杨勇,陈馨,,,,26,合格,145,206,,,,,2018-04-12 00:00:00,,陈馨,2018-04-26 08:30:16
大渡口站,012111800047,P·O42.5R,重庆小南海水泥厂,散装394,2018-03-16 09:57:04,2018-03-16 00:00:00,450.34,陈馨,2018-05-14 08:15:59,杨勇,陈馨,,,,26,合格,163,204,,,,,2018-04-14 00:00:00,,陈馨,2018-04-26 08:27:40
大渡口站,012111800048,P·O42.5R,重庆小南海水泥厂,散装404,2018-03-17 22:28:25,2018-03-17 00:00:00,450.48,陈馨,2018-05-14 08:16:00,杨勇,陈馨,,,,28,合格,171,219,,,,,2018-04-15 00:00:00,,陈馨,2018-04-26 08:28:02
大渡口站,012111800049,P·O42.5R,重庆小南海水泥厂,散装412,2018-03-18 16:41:44,2018-03-18 00:00:00,464.38,陈馨,2018-05-14 08:16:02,杨勇,陈馨,,,,26,合格,139,234,,,,,2018-04-16 00:00:00,,陈馨,2018-04-26 08:30:31
大渡口站,012111800050,P·O42.5R,重庆小南海水泥厂,散装420,2018-03-19 22:18:55,2018-03-20 00:00:00,449.42,陈馨,2018-05-14 08:16:46,杨勇,陈馨,,,,26,合格,157,212,33.2,51.4,6.6,8.9,2018-04-18 00:00:00,,蒋合军,2018-04-18 15:27:54
大渡口站,012111800051,P·O42.5R,重庆小南海水泥厂,散装430,2018-03-21 00:06:47,2018-03-21 00:00:00,450.68,陈馨,2018-05-14 08:16:48,杨勇,陈馨,,,,25,合格,136,223,,,,,2018-04-19 00:00:00,,陈馨,2018-04-26 08:30:55
大渡口站,012111800053,P·O42.5R,重庆小南海水泥厂,散装444,2018-03-22 23:58:29,2018-03-22 00:00:00,436.8,陈馨,2018-05-14 08:16:49,杨勇,陈馨,,,,26,合格,130,214,,,,,2018-04-20 00:00:00,,陈馨,2018-04-26 08:31:10
大渡口站,012111800054,P·O42.5R,重庆小南海水泥厂,散装450,2018-03-23 16:36:54,2018-03-23 00:00:00,441.06,陈馨,2018-05-14 08:16:51,杨勇,陈馨,,,,25,合格,169,231,,,,,2018-04-21 00:00:00,,陈馨,2018-04-26 08:31:24
大渡口站,012111800055,P·O42.5R,重庆小南海水泥厂,散装456,2018-03-24 13:14:04,2018-03-24 00:00:00,475.48,陈馨,2018-05-14 08:16:52,杨勇,陈馨,,,,25,合格,129,210,,,,,2018-04-22 00:00:00,,陈馨,2018-04-26 08:31:37
大渡口站,012111800056,P·O42.5R,重庆小南海水泥厂,散装460,2018-03-25 09:54:10,2018-03-25 00:00:00,436.96,陈馨,2018-05-14 08:16:54,杨勇,陈馨,,,,25,合格,159,231,,,,,2018-04-23 00:00:00,,陈馨,2018-04-26 08:31:51
大渡口站,012111800057,P·O42.5R,重庆小南海水泥厂,散装476,2018-03-26 22:53:07,2018-03-26 00:00:00,490.52,陈馨,2018-05-14 08:16:55,杨勇,陈馨,,,,26,合格,156,210,,,,,2018-04-24 00:00:00,,陈馨,2018-04-26 08:32:04
大渡口站,012111800058,P·O42.5R,重庆小南海水泥厂,散装486,2018-03-28 12:25:46,2018-03-28 00:00:00,445.16,陈馨,2018-05-14 08:16:58,杨勇,陈馨,,,,27,合格,166,190,33.4,53.2,6.1,9.1,2018-04-26 00:00:00,,陈常东,2018-04-25 14:11:09
大渡口站,012111800060,P·O42.5R,重庆小南海水泥厂,散装492,2018-03-29 06:42:28,2018-03-29 00:00:00,451.46,陈馨,2018-05-14 08:17:24,杨勇,陈馨,,,,27,合格,168,193,,,,,2018-04-27 00:00:00,,陈馨,2018-04-26 08:32:18
大渡口站,012111800061,P·O42.5R,重庆小南海水泥厂,散装500,2018-03-30 13:44:44,2018-03-30 00:00:00,453.14,陈馨,2018-05-14 08:17:34,杨勇,陈馨,,,,27,合格,124,219,,,,,2018-04-28 00:00:00,,陈馨,2018-04-26 08:32:30
大渡口站,012111800062,P·O42.5R,重庆小南海水泥厂,散装516,2018-04-01 15:26:36,2018-04-04 00:00:00,448.58,陈馨,2018-05-14 08:17:35,杨勇,陈馨,,,,25,合格,145,220,32.5,43,6.1,8.1,2018-05-03 00:00:00,,陈馨,2018-04-11 14:16:22
大渡口站,012111800063,P·O42.5R,重庆小南海水泥厂,散装530,2018-04-03 07:50:56,2018-04-04 00:00:00,462.64,陈馨,2018-05-14 08:17:36,杨勇,陈馨,,,,25,合格,133,202,32.5,47.8,6.1,9.4,2018-05-03 00:00:00,,陈馨,2018-05-02 14:37:51
大渡口站,012111800064,P·O42.5R,重庆小南海水泥厂,散装531,2018-04-04 06:03:39,2018-04-04 00:00:00,454.34,陈馨,2018-05-14 08:17:37,杨勇,陈馨,,,,27,合格,137,220,,,,,2018-05-03 00:00:00,,卢燕,2018-05-18 15:02:37
大渡口站,012111800065,P·O42.5R,重庆小南海水泥厂,散装544,2018-04-05 04:34:47,2018-04-05 00:00:00,450.24,陈馨,2018-05-29 10:12:56,杨勇,陈馨,,,,28,合格,157,211,,,,,2018-05-04 00:00:00,,卢燕,2018-05-18 15:02:58
